Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red,Va
49,632.6987305,799.3040161,6.379348845,630.722229,829.8044434,1.357679961,564.8369751,810.9385376,5.20016005,624.2671509,814.3830566,3.017872561,536.0438232,789.9766235,5.55432891,0.21509390327
50,637.9814453,801.6538696,5.781772018,635.6656494,831.2419434,5.148185273,570.3605347,808.8007202,5.92283492,631.77948,815.4776001,7.591647641,541.9153442,786.4400635,6.854342846,0.31298782698000005
51,643.8014526,801.9868774,5.829526521,637.1917114,829.9912109,1.973118561,575.4269409,808.4644775,5.077551716,635.4862061,817.6254272,4.284037774,545.7723389,785.3837891,3.999015279,0.21163249850999996
52,650.0791016,803.4332275,6.442111815,639.0703125,833.699707,4.15717275,582.4588013,807.947937,7.050806629,638.7040405,819.2056274,3.584897676,552.1966553,783.7869263,6.619804534,0.27854793404
53,655.5118408,808.9890137,7.770547947,643.0585938,836.3462524,4.786500803,587.0365601,808.4562988,4.605899181,643.1817627,820.7196655,4.726764976,557.8856201,781.0343628,6.319883439,0.28209596346
54,660.3279419,812.3140869,5.852430403,647.0653687,838.5130615,4.555140691,594.5864258,807.3416748,7.631700934,647.9543457,822.7300415,5.178721863,561.9136353,780.0892334,4.137411693,0.27355405584
55,666.7423096,814.3983154,6.744488208,651.6323242,842.1320801,5.827038566,601.2219238,807.6191406,6.641296681,649.956604,824.7774658,2.863736132,568.1339111,778.970459,6.320086091,0.28396645678
56,670.1986084,822.3148804,8.638171222,654.1901855,842.0476074,2.559255791,606.555542,808.5241089,5.409847528,653.0321045,826.1079102,3.350937986,573.7173462,779.0860596,5.58463164,0.25542844167
57,673.7878418,827.5565796,6.352795219,656.831604,845.7228394,4.525971855,611.9345093,808.1228027,5.393916544,657.5999146,829.0571899,5.437199645,580.4472046,777.8242798,6.84712219,0.28557005453
58,681.270752,828.7953491,7.584754074,658.7678833,849.8622437,4.569884621,615.7283325,808.5307617,3.815694606,661.8718872,831.0530396,4.715205832,586.2297974,777.4628906,5.793874464,0.26479413596999996
59,686.0356445,832.5605469,6.072965948,657.5446167,854.3530884,4.654467482,619.1984253,811.5222168,4.581522382,667.8024902,833.7454224,6.513138834,590.4086304,778.3718262,4.276541726,0.26098636372
60,690.7167969,837.2617188,6.634320181,656.6798096,858.359436,4.098623295,624.1619263,814.1316528,5.607628587,670.8754272,838.8215332,5.933788262,595.2206421,778.8327637,4.834037666,0.27108397991
61,694.3461914,841.8742065,5.869203379,656.2874146,861.6628418,3.326629447,627.182373,815.7137451,3.409708893,673.6424561,842.2529297,4.408052888,601.5751343,779.411377,6.380780853,0.23394375460000003
62,697.2747803,846.4373169,5.422048398,656.0197754,864.6509399,3.000060206,632.3908691,817.8600464,5.633386255,674.9423828,845.5908203,3.582083667,606.2471313,780.4731445,4.791127948,0.22428706474
63,697.3948975,851.619751,5.183825919,655.0151367,867.4819946,3.00402555,637.0571899,822.4793701,6.566026313,676.3418579,850.6386108,5.23819814,611.0818481,784.2080078,6.109311764,0.26101387686
64,696.7692261,858.0276489,6.438370975,655.2778931,869.1887207,1.726833747,643.0762939,822.4944458,6.019122883,675.2644653,855.9462891,5.415923087,617.7070923,785.7957153,6.81283165,0.26413082342
65,695.4851685,865.4271851,7.510122432,653.4898682,872.1962891,3.498928477,646.8724976,825.5649414,4.882530608,675.2069092,859.5751343,3.629301628,622.5822144,787.8529053,5.291393546,0.24812276691000001
66,692.5311279,872.9378052,8.070673453,651.8071899,874.8666382,3.156290612,650.1310425,830.7962646,6.163185692,675.0366821,864.4778442,4.905664299,628.4986572,789.1914673,6.065974325,0.28361788380999997
67,692.0141602,876.4451904,3.545279537,649.6325684,876.7860107,2.900512031,653.8421631,835.2229614,5.77650937,673.2166748,869.6803589,5.511677179,633.585022,791.157959,5.453273873,0.23187251990000002
68,691.9009399,881.536499,5.09256733,648.0571289,877.1950073,1.627663256,659.0770264,837.3146973,5.637300098,671.3930054,874.3535767,5.016446408,637.8205566,792.5527954,4.459296198,0.21833273290000002
69,686.3258667,887.3198242,8.03295039,645.1862793,882.8857422,6.373871725,663.4136963,840.3961792,5.319984673,670.145874,877.1280518,3.041882421,641.4361572,797.0170898,5.744779577,0.28513468786
70,681.9726563,892.2893066,6.60652683,642.8999023,883.7320557,2.437984018,667.350769,845.5736694,6.504379063,668.038269,882.0263062,5.332437985,645.7595215,801.8756104,6.503591318,0.27384919214000003
71,676.5859985,896.5516968,6.869064785,641.7418213,884.9782104,1.701191782,672.2002563,851.9043579,7.974656338,663.4179077,886.8284302,6.663942822,648.6971436,804.3279419,3.826689617,0.27035545344
72,670.987793,902.2849121,8.013093261,637.5717163,887.427002,4.835944104,677.399353,854.3612061,5.750365996,657.6940918,890.0025024,6.544983072,651.6669922,807.6879883,4.484407723,0.29628794156000005
73,666.6397705,905.7015991,5.529832679,634.9360962,889.6071167,3.420437649,680.6379395,858.2358398,5.04987416,653.506897,893.5561523,5.491905692,652.9229736,812.5441895,5.015992346,0.24508042526
74,660.043457,908.1049194,7.020491436,632.0466919,891.1229858,3.262900005,683.9726563,864.2512817,6.877926817,650.7694092,895.8234863,3.554524274,654.276001,818.0502319,5.669848921,0.26385691453
75,653.1018677,912.2318726,8.075729371,626.9379272,891.5046997,5.123005144,687.4664307,867.0552368,4.479801752,649.2593384,898.2409058,2.850303588,655.4972534,821.767334,3.91258293,0.24441422784999997
76,646.3771973,915.3486938,7.411866639,623.3707275,893.1763306,3.939449642,691.5810547,869.9418945,5.026223594,644.2058716,899.1192017,5.129223172,655.890564,825.7371216,3.989223829,0.25495986876
77,637.274292,917.4939575,9.352274624,621.9764404,896.5070801,3.61080723,695.0582275,875.5328979,6.584075505,641.9516602,898.817627,2.274294716,657.319458,832.9509277,7.35396066,0.29175412735
78,635.1087646,918.0298462,2.230848571,619.8248901,897.9280396,2.578428685,696.6119995,879.991272,4.721366992,638.0952148,901.1583862,4.511244223,658.3525391,837.6891479,4.849534748,0.18891423219
79,629.8023682,923.5811768,7.679525682,614.7124634,896.9039307,5.213991404,698.2747803,885.5214844,5.774780435,636.6306763,904.6582031,3.793888708,658.7348022,842.8091431,5.134245333,0.27596431562
80,625.1204224,927.1811523,5.905966534,609.663269,898.9816284,5.459962582,699.8123779,889.0045776,3.807380362,632.2431641,906.9794922,4.963733099,660.6252441,851.5432739,8.936375799,0.29073418376
81,619.0183716,928.7619629,6.303489964,605.8106689,900.9788818,4.339533239,700.6156006,893.0768433,4.15072451,629.192688,907.9911499,3.213853701,661.3659058,856.1402588,4.65626991,0.22663871323999998
82,611.8362427,929.4105835,7.211358008,602.4866943,903.6782837,4.282006257,701.0506592,898.9202881,5.859618025,625.7764893,910.024292,3.975434633,662.7369385,860.8106079,4.867431727,0.2619584865
83,607.0646362,929.5386963,4.773325985,598.7385864,904.7495117,3.8981845,701.8330078,901.6878662,2.876031652,624.1707153,909.4917603,1.691774203,663.2408447,867.6008301,6.80889408,0.20048210419999998
84,601.6959839,929.8383179,5.377006703,593.4207764,903.9558716,5.3767061,701.8110962,906.7734985,5.085679527,618.5998535,909.9560547,5.590176267,662.4086304,872.7731934,5.23888563,0.26668454227
85,591.9920654,929.1366577,9.729252818,588.1748657,903.3520508,5.280547135,701.3916626,912.7748413,6.015982017,617.9400635,910.3239746,0.7554389218,662.2128906,876.8605347,4.09202554,0.258732464318
86,585.0671997,926.1973267,7.522860648,582.7301636,902.4957275,5.511630519,700.6997681,915.8608398,3.162610473,613.7189941,911.4205322,4.361177014,660.6906128,884.3123169,7.605681307,0.28163959961
87,578.2064819,921.7998657,8.149055839,579.0518188,902.7407227,3.686494613,698.578186,920.192749,4.823540967,610.4539795,911.4903564,3.265761179,658.8878784,888.7416992,4.782183497,0.24707036095
88,572.902771,918.4029541,6.298282168,575.0530396,901.6983643,4.132402073,694.5686646,924.4030151,5.814000626,603.0709229,910.9127197,7.405618782,656.0290527,893.8739014,5.874724094,0.29525027743000004
89,565.803833,918.8071289,7.110434434,570.9035034,898.336731,5.340339743,691.5390625,926.8424072,3.88961725,597.6352539,911.006897,5.436484732,655.0682373,898.2695313,4.499414224,0.26276290383
90,559.9765625,916.7939453,6.165224226,569.5123901,887.4014282,11.0234315,688.4116821,931.2889404,5.436190349,588.0980225,911.5084229,9.550408989,653.2193604,901.7290039,3.922537068,0.36097792131999995
91,554.1274414,913.4683228,6.728445807,570.4258423,884.1580811,3.369524548,686.1209106,936.8876953,6.049271876,584.465332,910.548645,3.757341247,650.5545044,905.5564575,4.663781559,0.24568365037
92,550.6213379,909.5578613,5.252092005,569.7641602,880.519104,3.698645322,680.4932251,941.2857666,7.142399854,580.0588379,909.3580933,4.564493849,646.8341064,913.104126,8.414788175,0.29072419204999994
93,549.0984497,905.4522705,4.378934163,567.1740723,878.4705811,3.302272181,675.8889771,944.2287598,5.464458696,576.2415161,909.6130371,3.825825652,643.8195801,916.9846191,4.913816889,0.21885307581
94,546.2543335,899.4180298,6.670911341,565.5490723,872.378479,6.305103679,671.3734131,946.9284668,5.261058446,572.5406494,909.1937866,3.724538266,640.1846924,919.6652222,4.516419062,0.26478030794
95,544.5565186,893.9397583,5.735332077,567.1410522,869.4995117,3.289810464,666.9915161,951.81073,6.560298383,568.9226685,907.0309448,4.215171508,636.2493286,923.9453735,5.81436013,0.25614972562000005
96,544.5276489,888.6804199,5.259417614,567.5916748,866.1277466,3.401743792,661.5441284,954.2423096,5.965451534,568.1247559,905.4064941,1.8098355,632.4028931,930.5985107,7.685004952,0.24121453392
97,544.1558228,881.7281494,6.962206541,567.1375732,860.3167114,5.828750965,655.4508667,956.7025146,6.571183105,566.4750977,901.0438843,4.664090158,628.6981201,934.3492432,5.271938572,0.29298169341
98,545.5301514,875.7087402,6.174306925,570.0892944,856.4549561,4.860639108,651.0269165,959.2419434,5.100983582,563.3415527,895.4665527,6.397322168,624.8707886,936.9772949,4.642749485,0.27176001268
99,548.1879272,868.0709839,8.086970672,571.4549561,853.0045776,3.710814316,645.0895996,960.8375244,6.147976155,562.7886353,891.2478638,4.254768422,621.1170044,940.68396,5.275439449,0.27475969013999996
100,551.041748,861.208313,7.432398336,575.7096558,848.7493896,6.017399306,638.8250122,961.9055786,6.354981911,563.0270996,883.1370239,8.114344596,617.0686646,947.0325317,7.529503244,0.35448627393
101,552.8989258,853.7872925,7.649879379,577.3082275,846.3416138,2.890123944,635.0562134,964.6275635,4.648983352,561.3199463,878.2282715,5.197136037,613.3708496,950.1756592,4.853152115,0.25239274827
102,556.7154541,847.9644165,6.962167267,584.0801392,841.6635132,8.23063862,632.2247314,966.9075317,3.635319135,565.1481323,871.2209473,7.984835692,609.5753174,955.7958374,6.781774704,0.33594735418
103,560.6071167,841.0411987,7.942038914,586.4055786,839.9577026,2.884000394,627.5482178,968.4622803,4.928186597,566.5385742,866.5278931,4.894699825,603.7279053,961.2507935,7.99679773,0.28645723460000005
104,566.9564209,834.8528442,8.866193949,590.7085571,836.868042,5.297322626,620.5623169,965.8587646,7.455273617,566.8827515,861.520813,5.018895186,599.7052002,965.388916,5.77115365,0.32408839028
105,572.2324829,830.1799316,7.047903411,595.5167847,834.659729,5.291096136,613.3881226,966.7922363,7.234668876,568.0598145,858.0292358,3.684642216,595.982666,967.2060547,4.142372952,0.27400683591
106,580.0907593,827.2286377,8.394202965,600.5462646,835.1195068,5.050451913,610.9227905,970.0083008,4.05227499,573.0697632,851.6031494,8.148261964,590.7705688,966.7576294,5.231351846,0.30876543677999996
107,586.6635132,824.3814697,7.162922543,604.7766724,834.2861938,4.311700357,605.9823608,970.0875244,4.941064853,578.7384644,846.586731,7.569585663,584.8632202,967.2307129,5.926261542,0.29911534957999997
108,594.2687378,821.6506958,8.080629158,612.3175659,832.6974487,7.706438,599.472229,971.24823,6.612794714,581.6222534,845.8901367,2.966729325,580.7349854,966.5166016,4.189543898,0.29556135095
109,601.9611816,821.3336182,7.698975943,618.0175781,833.6744385,5.783134801,595.3405762,971.2564697,4.131661048,588.649292,841.690979,8.186097766,575.2359009,963.5477905,6.249301481,0.32049171039
110,609.6771851,822.3102417,7.777564032,624.151001,836.8478394,6.905747535,590.376709,970.4141235,5.034831135,590.6625977,839.1022339,3.279481816,571.4972534,961.7571411,4.145348014,0.27142972532000004
111,618.8861084,823.9824829,9.35952241,628.8165894,838.7887573,5.053204675,587.7802734,970.3184204,2.598198729,596.8967896,836.8031616,6.644612996,567.668335,957.6831665,5.590875215,0.29246414025
112,622.7263184,825.9623413,4.320538372,632.8312988,841.59729,4.89956612,581.3678589,970.0410156,6.418412092,600.5065308,837.2456055,3.63675517,563.3267212,955.416687,4.897605477,0.24172877231
113,630.5153809,827.9834595,8.047012692,638.7055054,845.7523804,7.19521217,578.1185913,967.9411011,3.868769949,604.3443604,837.1208496,3.839856766,560.5349121,951.6937866,4.653405771,0.27604257348
114,636.6481934,830.0892334,6.484263488,643.7063599,850.0750732,6.610160309,573.017334,966.5342407,5.291699381,609.6116333,837.1581421,5.267404964,557.3267822,946.6139526,6.008062138,0.29661590280000005
115,642.5305176,835.8417358,8.227576955,646.8734131,853.0228271,4.326601346,567.7838745,963.8395386,5.886469037,612.4885254,840.5974731,4.483916391,555.9935913,943.0794067,3.777619982,0.26702183711000005
116,648.1566162,840.682251,7.421830813,648.7702026,856.0324097,3.557442556,563.350769,958.6610107,6.816859585,615.7887573,842.6495361,3.886192651,551.7823486,939.3581543,5.619811795,0.27302137400000004
117,652.6491699,844.553772,5.930574481,654.6473999,862.3080444,8.597967167,558.7627563,954.0895386,6.476744419,622.4648438,843.4304199,6.721600215,549.2750854,934.9662476,5.057194229,0.32784080511
118,657.5610352,849.1251221,6.709967347,658.6227417,866.125061,5.511166677,557.1903687,952.520752,2.22114712,626.0670776,845.6069946,4.208748796,545.8292847,927.9596558,7.808064525,0.26459094465
119,662.9287109,855.4543457,8.298856252,658.6160889,868.180481,2.055430689,553.3960571,948.7213745,5.369550156,632.5707397,849.3950806,7.526434475,542.1978149,922.9448853,6.191566492,0.29441838064000003
120,667.8006592,860.9332886,7.331759315,664.0651245,874.90271,8.653343414,550.2528687,944.3417358,5.390813361,636.8170166,853.9176025,6.203553186,538.7892456,917.4454346,6.470108402,0.34049577678
121,670.9738159,868.5917358,8.289797236,665.2553711,881.2719116,6.479461144,546.4163818,938.017395,7.39702088,641.5108643,857.5827637,5.955301164,538.4165039,910.7529297,6.702876844,0.34824457268000003
122,673.1330566,874.684082,6.463667892,667.5321655,888.1934814,7.286420364,545.7317505,934.4558105,3.62678977,643.4943848,859.5881348,2.820614619,535.6807861,906.1712646,5.336272694,0.25533765339
123,677.3989258,881.9526978,8.427954322,668.2281494,894.6409302,6.48490468,541.7105713,930.3952026,5.714754479,647.4312744,863.456604,5.519434242,535.7492065,902.5058594,3.666043804,0.29813091526999996
124,678.510376,888.6622925,6.801028079,668.1002808,899.4453125,4.806083635,540.2232056,923.9586792,6.606140383,652.2033691,867.2467041,6.094074731,535.8497314,896.4682617,6.038434459,0.30345761287
125,679.1624146,892.5489502,3.940972278,668.3927612,907.8320313,8.391817218,538.6264648,919.4139404,4.817077062,655.0969238,870.9699707,4.715439843,535.4822998,891.9544678,4.52872408,0.26394030480999997
126,679.3466797,902.2846069,9.73740036,667.6964111,916.3857422,8.582008754,538.2877808,915.4210205,4.007257966,658.4592285,878.3256226,8.087688609,535.1564331,887.8253174,4.141988901,0.34556344590000004
127,679.4396362,906.7303467,4.44671146,667.5097656,924.4745483,8.090959246,537.9030151,908.875061,6.557257811,660.8910522,883.8608398,6.045857842,536.7233276,880.852478,7.146722826,0.32287509184999996
128,678.1907349,913.3662109,6.752366183,666.3571777,929.2562256,4.918627464,537.2680054,903.0880737,5.821723067,660.6635742,890.458252,6.601332653,538.9453735,875.9547119,5.378252586,0.29472301953
129,681.2261963,921.5760498,8.753026922,663.0852051,934.6335449,6.294550683,538.1279297,898.8674927,4.307293149,660.5784302,894.8289795,4.371556785,542.2853394,869.9067383,6.908933112,0.30635360651
130,678.5423584,926.961731,6.017353845,661.0392456,936.5095825,2.775872337,537.5484619,897.1973267,1.767834104,659.2979126,898.46698,3.856782703,541.8978271,867.6836548,2.256604959,0.16674447948
131,675.8825684,935.3363647,8.786863727,657.9047852,941.3945313,5.804099104,538.6993408,890.5463257,6.74983972,654.7171631,903.859314,7.075346768,545.824707,860.4041748,8.271107205,0.36687256524
132,669.9348755,939.3548584,7.177976158,653.312561,943.6616211,5.121349308,539.3184204,887.375061,3.231126585,654.2942505,908.9486084,5.106835899,548.1455688,858.4143066,3.057118722,0.23694406672
133,665.9703369,944.3681641,6.39146304,650.7374878,949.4869995,6.369147189,540.1828613,883.9244995,3.55719453,648.7763062,911.772522,6.198564154,553.3370361,853.5447998,7.117824766,0.29634193679
134,664.9609375,950.9789429,6.687397374,646.9558716,953.2598877,5.341844851,542.3222046,878.1489868,6.159004504,643.5011597,915.9918823,6.755010896,558.6293945,849.8171387,6.473369674,0.31416627299000005
135,659.3071289,955.7791138,7.416683374,640.2426758,956.8349609,7.605796904,544.3970947,872.1784058,6.320839122,638.9901733,918.9970093,5.420312321,562.8101196,843.5418701,7.540388437,0.34304020158
136,652.7442017,961.7553101,8.876200545,637.0752563,962.2368164,6.261995558,545.6838379,867.0910645,5.247547004,635.6635742,921.1957397,3.987565346,567.1243896,842.7199097,4.391872583,0.28765181036000004
137,647.4772339,966.2201538,6.904764966,631.5970459,963.4536133,5.611718486,548.4825439,863.6065674,4.469281308,627.6624146,924.5812378,8.68793146,573.6051025,838.8250122,7.561075704,0.33234771924
