Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red
49,495.329834,888.2059326,4.843593322,464.8684387,924.8796387,3.659356942,529.395874,1028.027222,2.555868095,515.5283813,1034.909058,2.247863901,463.0664673,900.4992676,6.719809604
50,489.5969849,889.0145264,5.789592637,459.0968628,930.7575073,8.237744144,532.088623,1028.655884,2.765160637,517.9147949,1035.084839,2.392878767,463.3693237,905.2930908,4.803380404
51,483.5160217,891.5700073,6.596104575,459.6463318,934.2329102,3.518570878,534.7203979,1028.685669,2.631943444,520.4075317,1035.514893,2.529561826,457.1791077,911.4868164,8.75676947
52,479.8739624,895.0073242,5.007968008,455.8981323,934.5840454,3.764610894,538.4258423,1029.006714,3.719326225,525.378418,1037.161011,5.236355118,454.5961914,913.2468262,3.125554476
53,476.2048035,897.4205322,4.391617035,454.2129822,941.1395874,6.768667655,538.5622559,1030.42627,1.426094999,528.8119507,1038.026489,3.540932076,449.7011414,918.1148071,6.903531964
54,471.129425,900.5393677,5.957063089,454.3345337,945.2080078,4.070235792,541.2652588,1031.126099,2.792129225,530.293396,1037.728027,1.511211345,447.4013367,917.8901978,2.310746843
55,467.4794006,903.7835083,4.883351986,454.4119873,947.8189087,2.612049475,542.3896484,1031.11853,1.12441512,531.1395874,1037.943481,0.8731897651,445.7586365,924.3210449,6.637338264
56,462.4130554,909.1512451,7.381087479,452.222229,954.746582,7.265514388,545.6137085,1028.109497,4.410084362,532.9486084,1039.358032,2.29641261,445.1652222,929.1103516,4.825929821
57,460.8367004,912.074646,3.321320178,452.0860901,961.8878784,7.142593919,547.9979248,1026.537598,2.855758249,538.0532837,1041.303345,5.462778649,442.5917358,937.0361938,8.333175134
58,455.8769531,916.0230103,6.339453741,452.8843079,968.871582,7.029172624,550.3613281,1026.084473,2.406449152,539.15625,1040.860596,1.188512253,439.8409729,943.2657471,6.809848023
59,452.0524597,920.7386475,6.071571798,452.749115,973.267395,4.39789142,553.3532715,1025.843994,3.001592075,541.2669067,1041.71167,2.275785401,438.5454712,948.1213989,5.025502922
60,448.0280762,924.9492798,5.824524658,452.2136841,979.6565552,6.411556267,553.0922852,1025.701782,0.2972172471,547.357605,1041.114502,6.119903158,438.8260193,951.3737183,3.26439708
